aip,entity,
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q5155473, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q133673, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q171594, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q37640, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q49848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binaryothref_tab/2.0, http://www.wikidata.org/entity/Q208474, 
